,edit_count,sentiment,neg_sentiment
2012-06-25,1.2,-0.1294969795147578,0.34555555555555556
2012-06-26,1.2333333333333334,-0.1609577375650406,0.3788888888888889
2012-06-27,1.2666666666666666,-0.1486405102411906,0.3733333333333333
2012-06-28,1.3333333333333333,-0.1525109835465749,0.38999999999999996
2012-06-29,1.3333333333333333,-0.1215164589881897,0.3733333333333333
2012-06-30,1.5333333333333334,-0.12184999697738225,0.38999999999999996
2012-07-01,1.6333333333333333,-0.1575420626004537,0.4122222222222222
2012-07-02,1.7,-0.22186462892426384,0.4455555555555556
2012-07-03,1.7666666666666666,-0.20427560885747273,0.4344444444444445
2012-07-04,1.7,-0.1710083989302317,0.40111111111111114
2012-07-05,1.5333333333333334,-0.18978494604428608,0.3944444444444445
2012-07-06,1.6,-0.1900642216205597,0.41111111111111115
2012-07-07,1.6333333333333333,-0.22337756355603536,0.4444444444444445
2012-07-08,1.6666666666666667,-0.2525087823470434,0.46111111111111114
2012-07-09,1.5666666666666667,-0.2407141668928994,0.43888888888888894
2012-07-10,1.5666666666666667,-0.22348551236920886,0.4305555555555556
2012-07-11,1.5666666666666667,-0.21891679846578171,0.4305555555555556
2012-07-12,1.6,-0.24236936850680244,0.4638888888888889
2012-07-13,1.6,-0.27390508734517627,0.48055555555555557
2012-07-14,1.5666666666666667,-0.24340878410471808,0.44722222222222224
2012-07-15,1.4666666666666666,-0.2324472707178858,0.425
2012-07-16,1.5333333333333334,-0.23360832350121605,0.44166666666666665
2012-07-17,1.5333333333333334,-0.23360832350121605,0.44166666666666665
2012-07-18,1.6333333333333333,-0.2644592035147879,0.475
2012-07-19,1.6666666666666667,-0.23284970008664663,0.475
2012-07-20,1.7,-0.26532652063502205,0.5083333333333333
2012-07-21,1.7666666666666666,-0.32354665216472417,0.5416666666666666
2012-07-22,1.7666666666666666,-0.3817685844169722,0.575
2012-07-23,1.7666666666666666,-0.3817685844169722,0.575
2012-07-24,1.7333333333333334,-0.3485170664058791,0.5416666666666666
2012-07-25,1.6666666666666667,-0.34432245608833095,0.525
2012-07-26,1.6333333333333333,-0.3128616980380482,0.49166666666666664
2012-07-27,1.5333333333333334,-0.32213997162050667,0.48055555555555557
2012-07-28,1.4666666666666666,-0.31826949831512236,0.4638888888888889
2012-07-29,1.4,-0.3172112695044941,0.44722222222222224
2012-07-30,1.2,-0.3168777315153016,0.4305555555555556
2012-07-31,1.1666666666666667,-0.31980265468359,0.4305555555555556
2012-08-01,1.1333333333333333,-0.3197127049830225,0.4305555555555556
2012-08-02,1.1333333333333333,-0.27803284979528853,0.4083333333333333
2012-08-03,1.2,-0.3096878782576985,0.44166666666666665
2012-08-04,1.2,-0.3096878782576985,0.44166666666666665
2012-08-05,1.1333333333333333,-0.3094086026814249,0.425
2012-08-06,1.2,-0.26509823756085504,0.40277777777777773
2012-08-07,1.3333333333333333,-0.28258777350187303,0.41388888888888886
2012-08-08,1.4,-0.28667956183354065,0.4305555555555555
2012-08-09,1.2666666666666666,-0.2706329518556595,0.40555555555555556
2012-08-10,1.3,-0.2461560203631719,0.3888888888888889
2012-08-11,1.2666666666666666,-0.2227034503221512,0.3555555555555555
2012-08-12,1.2,-0.19002817710240683,0.3222222222222222
2012-08-13,1.2666666666666666,-0.22326261540253958,0.3555555555555555
2012-08-14,1.3,-0.2023664011557897,0.3555555555555555
2012-08-15,6.333333333333333,-0.18824446536486966,0.3465141612200435
2012-08-16,6.666666666666667,-0.19200571713234604,0.3631808278867102
2012-08-17,6.733333333333333,-0.15582052936870808,0.3431808278867102
2012-08-18,6.966666666666667,-0.22025211300173356,0.37651416122004355
2012-08-19,7.066666666666666,-0.2073892468782162,0.3681808278867102
2012-08-20,7.1,-0.19323610030001026,0.3598474945533769
2012-08-21,7.1,-0.19312611383582773,0.3598474945533769
2012-08-22,7.533333333333333,-0.2056394298191354,0.3829244176303
